" Time ","",""," Magnitude ",""," EventLocationName"
"2019-12-10T20:46:18.7Z","","","4.4","","WESTERN TURKEY"
"2019-12-10T23:58:48.7Z","","","3.5","","WESTERN TURKEY"
"2019-12-11T00:01:44.5Z","","","3.2","","WESTERN TURKEY"
"2019-12-11T02:11:52.2Z","","","3.1","","WESTERN TURKEY"
"2019-12-11T13:15:45.6Z","","","3.5","","WESTERN TURKEY"
"2019-12-16T03:00:26.0Z","","","3.3","","AEGEAN SEA"
"2019-12-16T18:54:40.3Z","","","3.3","","WESTERN TURKEY"
"2019-12-18T14:48:09.1Z","","","3.2","","WESTERN TURKEY"
"2019-12-24T19:35:03.6Z","","","3.5","","WESTERN TURKEY"
"2019-12-26T01:55:28.2Z","","","3.5","","WESTERN TURKEY"
"2019-12-26T02:55:35.0Z","","","3.4","","WESTERN TURKEY"
"2019-12-30T07:45:31.0Z","","","3","","NEAR THE COAST OF WESTERN TURKEY"
"2019-12-30T14:32:49.7Z","","","3.1","","WESTERN TURKEY"
"2019-12-30T17:05:58.7Z","","","3.2","","WESTERN TURKEY"
"2020-01-02T11:18:40.9Z","","","3","","WESTERN TURKEY"
"2020-01-02T19:35:47.6Z","","","3","","WESTERN TURKEY"
"2020-01-04T17:13:03.1Z","","","3.1","","WESTERN TURKEY"
"2020-01-06T00:14:23.4Z","","","3.2","","WESTERN TURKEY"
"2020-01-11T05:15:26.4Z","","","3","","WESTERN TURKEY"
"2020-01-11T13:37:37.0Z","","","4.9","","WESTERN TURKEY"
"2020-01-12T22:50:41.0Z","","","3","","NEAR THE COAST OF WESTERN TURKEY"
"2020-01-19T12:50:59.0Z","","","3.1","","WESTERN TURKEY"
"2020-01-20T03:05:07.6Z","","","3","","WESTERN TURKEY"
"2020-01-22T13:18:29.2Z","","","3.1","","WESTERN TURKEY"
"2020-01-22T13:49:06.9Z","","","3.2","","WESTERN TURKEY"
"2020-01-22T14:46:31.2Z","","","4","","WESTERN TURKEY"
"2020-01-22T19:22:16.2Z","","","5.6","","WESTERN TURKEY"
"2020-01-22T19:25:13.8Z","","","4.5","","WESTERN TURKEY"
"2020-01-22T19:28:17.0Z","","","3","","WESTERN TURKEY"
"2020-01-22T19:34:11.7Z","","","3.7","","WESTERN TURKEY"
"2020-01-22T19:46:40.1Z","","","3.2","","WESTERN TURKEY"
"2020-01-22T19:48:30.5Z","","","4.3","","WESTERN TURKEY"
"2020-01-22T19:50:53.5Z","","","3.4","","WESTERN TURKEY"
"2020-01-22T19:57:29.8Z","","","3.8","","WESTERN TURKEY"
"2020-01-22T20:00:25.9Z","","","3.3","","WESTERN TURKEY"
"2020-01-22T20:14:20.1Z","","","3.4","","WESTERN TURKEY"
"2020-01-22T20:15:52.4Z","","","3","","WESTERN TURKEY"
"2020-01-22T20:17:38.6Z","","","4.7","","WESTERN TURKEY"
"2020-01-22T20:20:33.4Z","","","3.7","","WESTERN TURKEY"
"2020-01-22T20:28:55.2Z","","","3.1","","WESTERN TURKEY"
"2020-01-22T20:37:34.7Z","","","3.4","","WESTERN TURKEY"
"2020-01-22T20:40:33.3Z","","","3.2","","WESTERN TURKEY"
"2020-01-22T20:53:35.1Z","","","3.4","","WESTERN TURKEY"
"2020-01-22T20:57:37.3Z","","","3.4","","WESTERN TURKEY"
"2020-01-22T20:58:56.1Z","","","3.8","","WESTERN TURKEY"
"2020-01-22T21:11:23.6Z","","","3.1","","WESTERN TURKEY"
